0,-199
1,104
2,-191
3,116
4,-175
5,136
6,-151
7,164
8,-119
9,200
10,-79
11,244
12,-31
13,296
14,25
15,356
16,89
17,424
18,161
19,500
20,241
21,584
22,329
23,676
24,425
25,776
26,529
27,884
28,641
29,1000
30,761
31,1124
32,889
33,1256
34,1025
35,1396
36,1169
37,1544
38,1321
39,1700
40,1481
41,1864
42,1649
43,2036
44,1825
45,2216
46,2009
47,2404
48,2201
49,2600
50,2401
51,2804
52,2609
53,3016
54,2825
55,3236
56,3049
57,3464
58,3281
59,3700
60,3521
61,3944
62,3769
63,4196
64,4025
65,4456
66,4289
67,4724
68,4561
69,5000
70,4841
71,5284
72,5129
73,5576
74,5425
75,5876
76,5729
77,6184
78,6041
79,6500
80,6361
81,6824
82,6689
83,7156
84,7025
85,7496
86,7369
87,7844
88,7721
89,8200
90,8081
91,8564
92,8449
93,8936
94,8825
95,9316
96,9209
97,9704
98,9601
99,10100
100,10001
101,10504
