0,4
1,5
2,10
3,17
4,26
5,37
6,50
7,65
8,82
9,101
10,122
11,145
12,170
13,197
14,226
15,257
16,290
17,325
18,362
19,401
20,442
21,485
22,530
23,577
24,626
25,677
26,730
27,785
28,842
29,901
30,962
31,1025
32,1090
33,1157
34,1226
35,1297
36,1370
37,1445
38,1522
39,1601
40,1682
41,1765
42,1850
43,1937
44,2026
45,2117
46,2210
47,2305
48,2402
49,2501
50,2602
51,2705
52,2810
53,2917
54,3026
55,3137
56,3250
57,3365
58,3482
59,3601
60,3722
61,3845
62,3970
63,4097
64,4226
65,4357
66,4490
67,4625
68,4762
69,4901
70,5042
71,5185
72,5330
73,5477
74,5626
75,5777
76,5930
77,6085
78,6242
79,6401
80,6562
81,6725
82,6890
83,7057
84,7226
85,7397
86,7570
87,7745
88,7922
89,8101
90,8282
91,8465
92,8650
93,8837
94,9026
95,9217
96,9410
97,9605
98,9802
99,10001
100,10202
101,10404
