0,-95
1,-60
2,-45
3,-34
4,-24
5,-13
6,0
7,15
8,32
9,51
10,72
11,95
12,120
13,147
14,176
15,207
16,240
17,275
18,312
19,351
20,392
21,435
22,480
23,527
24,576
25,627
26,680
27,735
28,792
29,851
30,912
31,975
32,1040
33,1107
34,1176
35,1247
36,1320
37,1395
38,1472
39,1551
40,1632
41,1715
42,1800
43,1887
44,1976
45,2067
46,2160
47,2255
48,2352
49,2451
50,2552
51,2655
52,2760
53,2867
54,2976
55,3087
56,3200
57,3315
58,3432
59,3551
60,3672
61,3795
62,3920
63,4047
64,4176
65,4307
66,4440
67,4575
68,4712
69,4851
70,4992
71,5135
72,5280
73,5427
74,5576
75,5727
76,5880
77,6035
78,6192
79,6351
80,6512
81,6675
82,6840
83,7007
84,7176
85,7347
86,7520
87,7695
88,7872
89,8051
90,8232
91,8415
92,8600
93,8787
94,8976
95,9167
96,9360
97,9555
98,9752
99,9951
100,10152
101,10504
